stratified , KFold_Default , Accuracy , 0.665 , 0.678 , 0.677 , 0.686 , 0.678 , 0.678 , 0.697 , 0.677 ,
stratified , KFold_Default , Precision , 0.647 , 0.677 , 0.692 , 0.687 , 0.702 , 0.696 , 0.741 , 0.715 ,
stratified , KFold_Default , Recall , 0.655 , 0.669 , 0.674 , 0.667 , 0.673 , 0.660 , 0.689 , 0.675 ,
stratified , KFold_Default , F1 , 0.652 , 0.685 , 0.692 , 0.709 , 0.717 , 0.737 , 0.764 , 0.767 ,
stratified , KFold_C001 , Accuracy , 0.656 , 0.673 , 0.670 , 0.686 , 0.676 , 0.668 , 0.673 , 0.694 ,
stratified , KFold_C001 , Precision , 0.629 , 0.683 , 0.688 , 0.707 , 0.697 , 0.704 , 0.699 , 0.728 ,
stratified , KFold_C001 , Recall , 0.622 , 0.660 , 0.670 , 0.686 , 0.669 , 0.654 , 0.662 , 0.676 ,
stratified , KFold_C001 , F1 , 0.622 , 0.665 , 0.680 , 0.726 , 0.717 , 0.738 , 0.741 , 0.769 ,
stratified , KFold_C01 , Accuracy , 0.659 , 0.672 , 0.674 , 0.672 , 0.678 , 0.672 , 0.671 , 0.670 ,
stratified , KFold_C01 , Precision , 0.647 , 0.681 , 0.674 , 0.694 , 0.714 , 0.686 , 0.695 , 0.702 ,
stratified , KFold_C01 , Recall , 0.649 , 0.676 , 0.665 , 0.673 , 0.664 , 0.664 , 0.659 , 0.654 ,
stratified , KFold_C01 , F1 , 0.654 , 0.674 , 0.700 , 0.698 , 0.713 , 0.731 , 0.740 , 0.754 ,
stratified , KFold_C025 , Accuracy , 0.644 , 0.667 , 0.672 , 0.661 , 0.673 , 0.683 , 0.691 , 0.680 ,
stratified , KFold_C025 , Precision , 0.651 , 0.667 , 0.675 , 0.674 , 0.698 , 0.710 , 0.726 , 0.707 ,
stratified , KFold_C025 , Recall , 0.632 , 0.660 , 0.648 , 0.637 , 0.669 , 0.672 , 0.671 , 0.658 ,
stratified , KFold_C025 , F1 , 0.623 , 0.670 , 0.688 , 0.701 , 0.717 , 0.748 , 0.758 , 0.756 ,
stratified , KFold_C05 , Accuracy , 0.652 , 0.672 , 0.665 , 0.671 , 0.684 , 0.676 , 0.672 , 0.693 ,
stratified , KFold_C05 , Precision , 0.633 , 0.677 , 0.686 , 0.685 , 0.704 , 0.686 , 0.711 , 0.728 ,
stratified , KFold_C05 , Recall , 0.633 , 0.663 , 0.648 , 0.660 , 0.681 , 0.662 , 0.666 , 0.678 ,
stratified , KFold_C05 , F1 , 0.624 , 0.664 , 0.679 , 0.701 , 0.724 , 0.741 , 0.739 , 0.772 ,
stratified , KFold_M1 , Accuracy , 0.654 , 0.686 , 0.662 , 0.662 , 0.682 , 0.673 , 0.675 , 0.671 ,
stratified , KFold_M1 , Precision , 0.649 , 0.693 , 0.676 , 0.676 , 0.705 , 0.702 , 0.711 , 0.713 ,
stratified , KFold_M1 , Recall , 0.626 , 0.686 , 0.658 , 0.651 , 0.676 , 0.659 , 0.661 , 0.671 ,
stratified , KFold_M1 , F1 , 0.623 , 0.677 , 0.682 , 0.690 , 0.730 , 0.731 , 0.751 , 0.754 ,
stratified , KFold_M2 , Accuracy , 0.653 , 0.658 , 0.676 , 0.690 , 0.677 , 0.672 , 0.682 , 0.689 ,
stratified , KFold_M2 , Precision , 0.641 , 0.666 , 0.679 , 0.702 , 0.681 , 0.701 , 0.720 , 0.740 ,
stratified , KFold_M2 , Recall , 0.641 , 0.651 , 0.669 , 0.682 , 0.659 , 0.665 , 0.667 , 0.676 ,
stratified , KFold_M2 , F1 , 0.636 , 0.662 , 0.692 , 0.718 , 0.721 , 0.737 , 0.750 , 0.770 ,
stratified , KFold_M4 , Accuracy , 0.649 , 0.677 , 0.664 , 0.679 , 0.688 , 0.667 , 0.676 , 0.679 ,
stratified , KFold_M4 , Precision , 0.635 , 0.684 , 0.666 , 0.695 , 0.713 , 0.685 , 0.708 , 0.712 ,
stratified , KFold_M4 , Recall , 0.635 , 0.668 , 0.634 , 0.659 , 0.687 , 0.655 , 0.658 , 0.663 ,
stratified , KFold_M4 , F1 , 0.626 , 0.668 , 0.671 , 0.700 , 0.735 , 0.735 , 0.735 , 0.762 ,
stratified , KFold_M10 , Accuracy , 0.649 , 0.679 , 0.679 , 0.676 , 0.670 , 0.686 , 0.685 , 0.682 ,
stratified , KFold_M10 , Precision , 0.644 , 0.681 , 0.693 , 0.681 , 0.685 , 0.713 , 0.708 , 0.711 ,
stratified , KFold_M10 , Recall , 0.631 , 0.664 , 0.665 , 0.654 , 0.661 , 0.677 , 0.684 , 0.665 ,
stratified , KFold_M10 , F1 , 0.643 , 0.667 , 0.688 , 0.699 , 0.709 , 0.739 , 0.756 , 0.766 ,
stratified , KFold_N2 , Accuracy , 0.647 , 0.654 , 0.679 , 0.672 , 0.674 , 0.681 , 0.670 , 0.681 ,
stratified , KFold_N2 , Precision , 0.636 , 0.670 , 0.689 , 0.701 , 0.711 , 0.707 , 0.695 , 0.705 ,
stratified , KFold_N2 , Recall , 0.644 , 0.651 , 0.660 , 0.663 , 0.670 , 0.664 , 0.662 , 0.661 ,
stratified , KFold_N2 , F1 , 0.630 , 0.654 , 0.681 , 0.697 , 0.723 , 0.729 , 0.736 , 0.759 ,
stratified , KFold_N3 , Accuracy , 0.647 , 0.649 , 0.691 , 0.677 , 0.690 , 0.686 , 0.675 , 0.686 ,
stratified , KFold_N3 , Precision , 0.646 , 0.672 , 0.695 , 0.683 , 0.713 , 0.713 , 0.718 , 0.712 ,
stratified , KFold_N3 , Recall , 0.638 , 0.663 , 0.677 , 0.666 , 0.674 , 0.665 , 0.677 , 0.663 ,
stratified , KFold_N3 , F1 , 0.631 , 0.668 , 0.709 , 0.710 , 0.725 , 0.747 , 0.743 , 0.766 ,
stratified , KFold_N6 , Accuracy , 0.658 , 0.664 , 0.680 , 0.680 , 0.683 , 0.661 , 0.682 , 0.675 ,
stratified , KFold_N6 , Precision , 0.656 , 0.657 , 0.683 , 0.699 , 0.701 , 0.699 , 0.712 , 0.707 ,
stratified , KFold_N6 , Recall , 0.662 , 0.658 , 0.667 , 0.652 , 0.663 , 0.664 , 0.662 , 0.663 ,
stratified , KFold_N6 , F1 , 0.641 , 0.682 , 0.686 , 0.716 , 0.721 , 0.724 , 0.751 , 0.757 ,
stratified , KFold_N9 , Accuracy , 0.642 , 0.676 , 0.660 , 0.682 , 0.680 , 0.679 , 0.686 , 0.685 ,
stratified , KFold_N9 , Precision , 0.612 , 0.675 , 0.679 , 0.693 , 0.713 , 0.707 , 0.712 , 0.727 ,
stratified , KFold_N9 , Recall , 0.622 , 0.663 , 0.644 , 0.663 , 0.672 , 0.666 , 0.664 , 0.670 ,
stratified , KFold_N9 , F1 , 0.623 , 0.654 , 0.675 , 0.718 , 0.735 , 0.730 , 0.758 , 0.771 ,
