stratified , KFold_Default , Accuracy , 0.898 , 0.909 , 0.928 , 0.928 , 0.930 , 0.925 , 0.930 , 0.923 ,
stratified , KFold_Default , Precision , 0.903 , 0.915 , 0.935 , 0.934 , 0.939 , 0.934 , 0.942 , 0.933 ,
stratified , KFold_Default , Recall , 0.900 , 0.908 , 0.926 , 0.929 , 0.930 , 0.924 , 0.929 , 0.923 ,
stratified , KFold_Default , F1 , 0.899 , 0.909 , 0.928 , 0.928 , 0.930 , 0.925 , 0.930 , 0.923 ,
stratified , KFold_C001 , Accuracy , 0.906 , 0.924 , 0.927 , 0.920 , 0.930 , 0.930 , 0.927 , 0.929 ,
stratified , KFold_C001 , Precision , 0.912 , 0.928 , 0.931 , 0.927 , 0.936 , 0.939 , 0.935 , 0.939 ,
stratified , KFold_C001 , Recall , 0.907 , 0.925 , 0.929 , 0.921 , 0.929 , 0.929 , 0.927 , 0.926 ,
stratified , KFold_C001 , F1 , 0.907 , 0.925 , 0.927 , 0.921 , 0.930 , 0.930 , 0.926 , 0.927 ,
stratified , KFold_C01 , Accuracy , 0.887 , 0.913 , 0.926 , 0.923 , 0.931 , 0.928 , 0.930 , 0.926 ,
stratified , KFold_C01 , Precision , 0.892 , 0.918 , 0.932 , 0.929 , 0.939 , 0.938 , 0.941 , 0.934 ,
stratified , KFold_C01 , Recall , 0.891 , 0.913 , 0.927 , 0.924 , 0.930 , 0.927 , 0.928 , 0.926 ,
stratified , KFold_C01 , F1 , 0.888 , 0.913 , 0.927 , 0.923 , 0.931 , 0.928 , 0.929 , 0.925 ,
stratified , KFold_C025 , Accuracy , 0.895 , 0.914 , 0.913 , 0.922 , 0.921 , 0.921 , 0.927 , 0.928 ,
stratified , KFold_C025 , Precision , 0.903 , 0.922 , 0.921 , 0.928 , 0.930 , 0.929 , 0.938 , 0.940 ,
stratified , KFold_C025 , Recall , 0.899 , 0.913 , 0.912 , 0.921 , 0.921 , 0.920 , 0.925 , 0.926 ,
stratified , KFold_C025 , F1 , 0.896 , 0.915 , 0.913 , 0.922 , 0.921 , 0.920 , 0.926 , 0.927 ,
stratified , KFold_C05 , Accuracy , 0.879 , 0.904 , 0.918 , 0.918 , 0.923 , 0.929 , 0.940 , 0.933 ,
stratified , KFold_C05 , Precision , 0.891 , 0.910 , 0.925 , 0.925 , 0.932 , 0.937 , 0.947 , 0.942 ,
stratified , KFold_C05 , Recall , 0.878 , 0.905 , 0.918 , 0.916 , 0.924 , 0.928 , 0.940 , 0.933 ,
stratified , KFold_C05 , F1 , 0.880 , 0.904 , 0.918 , 0.917 , 0.923 , 0.929 , 0.940 , 0.933 ,
stratified , KFold_M1 , Accuracy , 0.879 , 0.911 , 0.916 , 0.922 , 0.929 , 0.937 , 0.929 , 0.928 ,
stratified , KFold_M1 , Precision , 0.885 , 0.918 , 0.923 , 0.932 , 0.937 , 0.946 , 0.937 , 0.938 ,
stratified , KFold_M1 , Recall , 0.879 , 0.911 , 0.915 , 0.921 , 0.928 , 0.936 , 0.927 , 0.925 ,
stratified , KFold_M1 , F1 , 0.879 , 0.911 , 0.915 , 0.922 , 0.928 , 0.937 , 0.928 , 0.927 ,
stratified , KFold_M2 , Accuracy , 0.908 , 0.918 , 0.928 , 0.924 , 0.923 , 0.932 , 0.930 , 0.921 ,
stratified , KFold_M2 , Precision , 0.910 , 0.924 , 0.933 , 0.932 , 0.929 , 0.941 , 0.939 , 0.932 ,
stratified , KFold_M2 , Recall , 0.910 , 0.919 , 0.928 , 0.924 , 0.923 , 0.931 , 0.930 , 0.920 ,
stratified , KFold_M2 , F1 , 0.908 , 0.918 , 0.928 , 0.925 , 0.922 , 0.932 , 0.930 , 0.919 ,
stratified , KFold_M4 , Accuracy , 0.894 , 0.922 , 0.923 , 0.925 , 0.917 , 0.933 , 0.933 , 0.934 ,
stratified , KFold_M4 , Precision , 0.901 , 0.925 , 0.928 , 0.933 , 0.925 , 0.941 , 0.942 , 0.943 ,
stratified , KFold_M4 , Recall , 0.896 , 0.922 , 0.923 , 0.926 , 0.916 , 0.933 , 0.932 , 0.935 ,
stratified , KFold_M4 , F1 , 0.894 , 0.922 , 0.923 , 0.926 , 0.916 , 0.933 , 0.933 , 0.935 ,
stratified , KFold_M10 , Accuracy , 0.896 , 0.917 , 0.912 , 0.937 , 0.927 , 0.917 , 0.922 , 0.918 ,
stratified , KFold_M10 , Precision , 0.902 , 0.924 , 0.920 , 0.942 , 0.934 , 0.926 , 0.930 , 0.928 ,
stratified , KFold_M10 , Recall , 0.901 , 0.917 , 0.913 , 0.938 , 0.927 , 0.917 , 0.922 , 0.915 ,
stratified , KFold_M10 , F1 , 0.898 , 0.917 , 0.913 , 0.937 , 0.927 , 0.916 , 0.922 , 0.914 ,
stratified , KFold_N2 , Accuracy , 0.896 , 0.913 , 0.932 , 0.927 , 0.923 , 0.924 , 0.930 , 0.932 ,
stratified , KFold_N2 , Precision , 0.902 , 0.917 , 0.940 , 0.933 , 0.931 , 0.933 , 0.938 , 0.941 ,
stratified , KFold_N2 , Recall , 0.895 , 0.913 , 0.932 , 0.925 , 0.923 , 0.923 , 0.927 , 0.931 ,
stratified , KFold_N2 , F1 , 0.894 , 0.912 , 0.932 , 0.926 , 0.923 , 0.923 , 0.928 , 0.931 ,
stratified , KFold_N3 , Accuracy , 0.891 , 0.917 , 0.916 , 0.930 , 0.926 , 0.924 , 0.936 , 0.931 ,
stratified , KFold_N3 , Precision , 0.895 , 0.923 , 0.924 , 0.937 , 0.932 , 0.933 , 0.946 , 0.939 ,
stratified , KFold_N3 , Recall , 0.892 , 0.917 , 0.917 , 0.931 , 0.927 , 0.922 , 0.934 , 0.929 ,
stratified , KFold_N3 , F1 , 0.891 , 0.917 , 0.916 , 0.930 , 0.926 , 0.922 , 0.935 , 0.930 ,
stratified , KFold_N6 , Accuracy , 0.888 , 0.910 , 0.917 , 0.929 , 0.923 , 0.930 , 0.925 , 0.933 ,
stratified , KFold_N6 , Precision , 0.900 , 0.918 , 0.923 , 0.936 , 0.931 , 0.938 , 0.933 , 0.942 ,
stratified , KFold_N6 , Recall , 0.884 , 0.908 , 0.918 , 0.927 , 0.921 , 0.929 , 0.923 , 0.933 ,
stratified , KFold_N6 , F1 , 0.887 , 0.910 , 0.917 , 0.929 , 0.921 , 0.929 , 0.923 , 0.933 ,
stratified , KFold_N9 , Accuracy , 0.898 , 0.914 , 0.927 , 0.920 , 0.928 , 0.930 , 0.931 , 0.936 ,
stratified , KFold_N9 , Precision , 0.907 , 0.919 , 0.934 , 0.928 , 0.935 , 0.938 , 0.940 , 0.947 ,
stratified , KFold_N9 , Recall , 0.896 , 0.915 , 0.927 , 0.921 , 0.927 , 0.929 , 0.931 , 0.935 ,
stratified , KFold_N9 , F1 , 0.898 , 0.915 , 0.928 , 0.922 , 0.928 , 0.930 , 0.931 , 0.936 ,
