unstrat , KFold_Default , Accuracy , 0.907 , 0.916 , 0.923 , 0.917 , 0.921 , 0.927 , 0.933 , 0.930 ,
unstrat , KFold_Default , Precision , 0.911 , 0.921 , 0.925 , 0.919 , 0.924 , 0.931 , 0.938 , 0.934 ,
unstrat , KFold_Default , Recall , 0.906 , 0.918 , 0.923 , 0.918 , 0.922 , 0.922 , 0.928 , 0.926 ,
unstrat , KFold_Default , F1 , 0.906 , 0.914 , 0.921 , 0.915 , 0.917 , 0.921 , 0.929 , 0.925 ,
unstrat , KFold_C001 , Accuracy , 0.888 , 0.923 , 0.916 , 0.917 , 0.928 , 0.926 , 0.935 , 0.931 ,
unstrat , KFold_C001 , Precision , 0.891 , 0.928 , 0.919 , 0.926 , 0.933 , 0.927 , 0.941 , 0.934 ,
unstrat , KFold_C001 , Recall , 0.891 , 0.925 , 0.919 , 0.918 , 0.927 , 0.927 , 0.933 , 0.932 ,
unstrat , KFold_C001 , F1 , 0.888 , 0.924 , 0.914 , 0.917 , 0.926 , 0.922 , 0.931 , 0.928 ,
unstrat , KFold_C01 , Accuracy , 0.904 , 0.924 , 0.932 , 0.928 , 0.923 , 0.937 , 0.936 , 0.924 ,
unstrat , KFold_C01 , Precision , 0.910 , 0.927 , 0.934 , 0.929 , 0.929 , 0.935 , 0.939 , 0.930 ,
unstrat , KFold_C01 , Recall , 0.903 , 0.924 , 0.930 , 0.928 , 0.919 , 0.935 , 0.937 , 0.925 ,
unstrat , KFold_C01 , F1 , 0.901 , 0.924 , 0.929 , 0.925 , 0.918 , 0.931 , 0.933 , 0.920 ,
unstrat , KFold_C025 , Accuracy , 0.901 , 0.917 , 0.915 , 0.921 , 0.928 , 0.928 , 0.926 , 0.929 ,
unstrat , KFold_C025 , Precision , 0.906 , 0.918 , 0.918 , 0.925 , 0.936 , 0.932 , 0.930 , 0.928 ,
unstrat , KFold_C025 , Recall , 0.903 , 0.918 , 0.914 , 0.921 , 0.927 , 0.927 , 0.927 , 0.927 ,
unstrat , KFold_C025 , F1 , 0.901 , 0.916 , 0.912 , 0.919 , 0.928 , 0.925 , 0.923 , 0.922 ,
unstrat , KFold_C05 , Accuracy , 0.888 , 0.918 , 0.938 , 0.925 , 0.912 , 0.924 , 0.924 , 0.930 ,
unstrat , KFold_C05 , Precision , 0.894 , 0.922 , 0.941 , 0.929 , 0.918 , 0.926 , 0.931 , 0.934 ,
unstrat , KFold_C05 , Recall , 0.883 , 0.919 , 0.940 , 0.925 , 0.912 , 0.930 , 0.926 , 0.931 ,
unstrat , KFold_C05 , F1 , 0.882 , 0.919 , 0.938 , 0.923 , 0.909 , 0.921 , 0.922 , 0.927 ,
unstrat , KFold_M1 , Accuracy , 0.909 , 0.918 , 0.921 , 0.927 , 0.928 , 0.928 , 0.925 , 0.933 ,
unstrat , KFold_M1 , Precision , 0.917 , 0.922 , 0.924 , 0.932 , 0.926 , 0.932 , 0.929 , 0.939 ,
unstrat , KFold_M1 , Recall , 0.909 , 0.920 , 0.921 , 0.929 , 0.930 , 0.931 , 0.924 , 0.933 ,
unstrat , KFold_M1 , F1 , 0.910 , 0.918 , 0.920 , 0.927 , 0.924 , 0.927 , 0.921 , 0.931 ,
unstrat , KFold_M2 , Accuracy , 0.902 , 0.908 , 0.904 , 0.930 , 0.927 , 0.933 , 0.936 , 0.925 ,
unstrat , KFold_M2 , Precision , 0.908 , 0.913 , 0.910 , 0.934 , 0.929 , 0.935 , 0.938 , 0.927 ,
unstrat , KFold_M2 , Recall , 0.902 , 0.912 , 0.902 , 0.930 , 0.926 , 0.933 , 0.937 , 0.920 ,
unstrat , KFold_M2 , F1 , 0.899 , 0.908 , 0.901 , 0.929 , 0.923 , 0.929 , 0.933 , 0.921 ,
unstrat , KFold_M4 , Accuracy , 0.896 , 0.924 , 0.928 , 0.918 , 0.926 , 0.922 , 0.925 , 0.927 ,
unstrat , KFold_M4 , Precision , 0.905 , 0.930 , 0.931 , 0.920 , 0.929 , 0.923 , 0.928 , 0.926 ,
unstrat , KFold_M4 , Recall , 0.896 , 0.925 , 0.929 , 0.923 , 0.924 , 0.922 , 0.926 , 0.927 ,
unstrat , KFold_M4 , F1 , 0.896 , 0.923 , 0.925 , 0.916 , 0.921 , 0.916 , 0.920 , 0.920 ,
unstrat , KFold_M10 , Accuracy , 0.906 , 0.913 , 0.910 , 0.929 , 0.921 , 0.924 , 0.927 , 0.931 ,
unstrat , KFold_M10 , Precision , 0.910 , 0.917 , 0.915 , 0.931 , 0.922 , 0.930 , 0.931 , 0.934 ,
unstrat , KFold_M10 , Recall , 0.906 , 0.917 , 0.911 , 0.931 , 0.919 , 0.922 , 0.925 , 0.928 ,
unstrat , KFold_M10 , F1 , 0.905 , 0.912 , 0.909 , 0.927 , 0.915 , 0.920 , 0.921 , 0.927 ,
unstrat , KFold_N2 , Accuracy , 0.906 , 0.911 , 0.909 , 0.920 , 0.929 , 0.916 , 0.926 , 0.927 ,
unstrat , KFold_N2 , Precision , 0.912 , 0.915 , 0.910 , 0.923 , 0.932 , 0.916 , 0.933 , 0.930 ,
unstrat , KFold_N2 , Recall , 0.910 , 0.914 , 0.909 , 0.921 , 0.930 , 0.920 , 0.924 , 0.929 ,
unstrat , KFold_N2 , F1 , 0.906 , 0.911 , 0.905 , 0.918 , 0.928 , 0.912 , 0.923 , 0.924 ,
unstrat , KFold_N3 , Accuracy , 0.878 , 0.918 , 0.913 , 0.928 , 0.926 , 0.934 , 0.928 , 0.931 ,
unstrat , KFold_N3 , Precision , 0.885 , 0.921 , 0.918 , 0.931 , 0.932 , 0.937 , 0.933 , 0.930 ,
unstrat , KFold_N3 , Recall , 0.880 , 0.918 , 0.911 , 0.925 , 0.925 , 0.935 , 0.931 , 0.929 ,
unstrat , KFold_N3 , F1 , 0.877 , 0.917 , 0.911 , 0.924 , 0.924 , 0.931 , 0.926 , 0.927 ,
unstrat , KFold_N6 , Accuracy , 0.901 , 0.917 , 0.913 , 0.928 , 0.931 , 0.934 , 0.935 , 0.928 ,
