stratified , KFold_Default , Accuracy , 0.00364 , 0.00422 , 0.00301 , 0.00433 , 0.00418 , 0.00588 , 0.00810 , 0.00856 ,
stratified , KFold_Default , Precision , 0.00440 , 0.00681 , 0.00631 , 0.00933 , 0.00806 , 0.00995 , 0.01457 , 0.01151 ,
stratified , KFold_Default , Recall , 0.00527 , 0.00888 , 0.00622 , 0.00674 , 0.00674 , 0.00988 , 0.01298 , 0.01432 ,
stratified , KFold_Default , F1 , 0.00482 , 0.00449 , 0.00417 , 0.00663 , 0.00536 , 0.00685 , 0.00866 , 0.00833 ,
stratified , KFold_C001 , Accuracy , 0.00247 , 0.00359 , 0.00340 , 0.00337 , 0.00576 , 0.00622 , 0.00640 , 0.00645 ,
stratified , KFold_C001 , Precision , 0.00540 , 0.00714 , 0.00692 , 0.01038 , 0.00781 , 0.01070 , 0.00980 , 0.01354 ,
stratified , KFold_C001 , Recall , 0.00494 , 0.00720 , 0.00502 , 0.00844 , 0.01168 , 0.01024 , 0.01235 , 0.01495 ,
stratified , KFold_C001 , F1 , 0.00411 , 0.00428 , 0.00604 , 0.00505 , 0.00741 , 0.00518 , 0.00688 , 0.00562 ,
stratified , KFold_C01 , Accuracy , 0.00088 , 0.00285 , 0.00442 , 0.00324 , 0.00413 , 0.00626 , 0.00586 , 0.00760 ,
stratified , KFold_C01 , Precision , 0.00329 , 0.00686 , 0.00706 , 0.00799 , 0.00745 , 0.01323 , 0.00918 , 0.01280 ,
stratified , KFold_C01 , Recall , 0.00556 , 0.00545 , 0.00598 , 0.00784 , 0.00562 , 0.01184 , 0.00865 , 0.01639 ,
stratified , KFold_C01 , F1 , 0.00315 , 0.00506 , 0.00386 , 0.00511 , 0.00522 , 0.00540 , 0.00780 , 0.00645 ,
stratified , KFold_C025 , Accuracy , 0.00241 , 0.00333 , 0.00355 , 0.00609 , 0.00576 , 0.00705 , 0.00531 , 0.00828 ,
stratified , KFold_C025 , Precision , 0.00472 , 0.00427 , 0.00686 , 0.00886 , 0.00963 , 0.01388 , 0.01123 , 0.01363 ,
stratified , KFold_C025 , Recall , 0.00607 , 0.00537 , 0.00464 , 0.00736 , 0.00904 , 0.01109 , 0.00836 , 0.01286 ,
stratified , KFold_C025 , F1 , 0.00434 , 0.00445 , 0.00331 , 0.00513 , 0.00568 , 0.00669 , 0.00601 , 0.00817 ,
stratified , KFold_C05 , Accuracy , 0.00409 , 0.00144 , 0.00241 , 0.00502 , 0.00494 , 0.00708 , 0.00733 , 0.00715 ,
stratified , KFold_C05 , Precision , 0.00504 , 0.00408 , 0.00503 , 0.00900 , 0.00866 , 0.01325 , 0.01287 , 0.01278 ,
stratified , KFold_C05 , Recall , 0.00525 , 0.00417 , 0.00642 , 0.00794 , 0.00579 , 0.00752 , 0.01141 , 0.01155 ,
stratified , KFold_C05 , F1 , 0.00375 , 0.00325 , 0.00422 , 0.00702 , 0.00485 , 0.00794 , 0.00656 , 0.00671 ,
