unstrat , KFold_Default , Accuracy , 0.00217 , 0.00241 , 0.00182 , 0.00215 , 0.00310 , 0.00296 , 0.00333 , 0.00346 ,
unstrat , KFold_Default , Precision , 0.00174 , 0.00240 , 0.00200 , 0.00197 , 0.00294 , 0.00261 , 0.00320 , 0.00335 ,
unstrat , KFold_Default , Recall , 0.00212 , 0.00221 , 0.00217 , 0.00224 , 0.00286 , 0.00293 , 0.00440 , 0.00349 ,
unstrat , KFold_Default , F1 , 0.00236 , 0.00247 , 0.00213 , 0.00227 , 0.00307 , 0.00302 , 0.00405 , 0.00369 ,
unstrat , KFold_C001 , Accuracy , 0.00169 , 0.00251 , 0.00196 , 0.00250 , 0.00211 , 0.00300 , 0.00355 , 0.00326 ,
unstrat , KFold_C001 , Precision , 0.00138 , 0.00197 , 0.00149 , 0.00228 , 0.00224 , 0.00255 , 0.00385 , 0.00326 ,
unstrat , KFold_C001 , Recall , 0.00195 , 0.00232 , 0.00203 , 0.00254 , 0.00251 , 0.00321 , 0.00382 , 0.00522 ,
unstrat , KFold_C001 , F1 , 0.00172 , 0.00232 , 0.00176 , 0.00265 , 0.00251 , 0.00325 , 0.00390 , 0.00443 ,
unstrat , KFold_C01 , Accuracy , 0.00267 , 0.00216 , 0.00311 , 0.00259 , 0.00247 , 0.00318 , 0.00391 , 0.00438 ,
unstrat , KFold_C01 , Precision , 0.00262 , 0.00214 , 0.00296 , 0.00271 , 0.00237 , 0.00307 , 0.00411 , 0.00494 ,
unstrat , KFold_C01 , Recall , 0.00248 , 0.00201 , 0.00288 , 0.00252 , 0.00241 , 0.00393 , 0.00416 , 0.00447 ,
unstrat , KFold_C01 , F1 , 0.00266 , 0.00209 , 0.00304 , 0.00281 , 0.00256 , 0.00379 , 0.00448 , 0.00493 ,
unstrat , KFold_C025 , Accuracy , 0.00183 , 0.00166 , 0.00214 , 0.00237 , 0.00204 , 0.00249 , 0.00454 , 0.00399 ,
unstrat , KFold_C025 , Precision , 0.00145 , 0.00152 , 0.00187 , 0.00215 , 0.00205 , 0.00248 , 0.00378 , 0.00439 ,
unstrat , KFold_C025 , Recall , 0.00204 , 0.00180 , 0.00221 , 0.00268 , 0.00213 , 0.00255 , 0.00460 , 0.00471 ,
unstrat , KFold_C025 , F1 , 0.00184 , 0.00169 , 0.00213 , 0.00258 , 0.00222 , 0.00271 , 0.00526 , 0.00535 ,
unstrat , KFold_C05 , Accuracy , 0.00257 , 0.00186 , 0.00287 , 0.00184 , 0.00276 , 0.00249 , 0.00302 , 0.00390 ,
unstrat , KFold_C05 , Precision , 0.00233 , 0.00156 , 0.00235 , 0.00169 , 0.00246 , 0.00232 , 0.00338 , 0.00547 ,
unstrat , KFold_C05 , Recall , 0.00270 , 0.00167 , 0.00272 , 0.00250 , 0.00283 , 0.00269 , 0.00404 , 0.00545 ,
unstrat , KFold_C05 , F1 , 0.00277 , 0.00174 , 0.00262 , 0.00223 , 0.00274 , 0.00272 , 0.00343 , 0.00426 ,
