metric,param,value,mean
Accuracy,D,-,"0,737"
Precision,D,-,"0,789"
Recall,D,-,"0,817"
F1,D,-,"0,801"
Accuracy,C,"0,01","0,74"
Precision,C,"0,01","0,788"
Recall,C,"0,01","0,827"
F1,C,"0,01","0,805"
Accuracy,C,"0,10","0,736"
Precision,C,"0,10","0,788"
Recall,C,"0,10","0,817"
F1,C,"0,10","0,8"
Accuracy,C,"0,25","0,738"
Precision,C,"0,25","0,791"
Recall,C,"0,25","0,816"
F1,C,"0,25","0,802"
Accuracy,C,"0,50","0,739"
Precision,C,"0,50","0,794"
Recall,C,"0,50","0,815"
F1,C,"0,50","0,802"
Accuracy,M,1,"0,737"
Precision,M,1,"0,787"
Recall,M,1,"0,821"
F1,M,1,"0,802"
Accuracy,M,2,"0,737"
Precision,M,2,"0,79"
Recall,M,2,"0,818"
F1,M,2,"0,801"
Accuracy,M,4,"0,738"
Precision,M,4,"0,787"
Recall,M,4,"0,825"
F1,M,4,"0,803"
Accuracy,M,10,"0,736"
Precision,M,10,"0,788"
Recall,M,10,"0,817"
F1,M,10,"0,8"
Accuracy,N,2,"0,737"
Precision,N,2,"0,789"
Recall,N,2,"0,817"
F1,N,2,"0,801"
Accuracy,N,3,"0,737"
Precision,N,3,"0,791"
Recall,N,3,"0,815"
F1,N,3,"0,8"
Accuracy,N,6,"0,737"
Precision,N,6,"0,791"
Recall,N,6,"0,816"
F1,N,6,"0,801"
Accuracy,N,9,"0,737"
Precision,N,9,"0,79"
Recall,N,9,"0,817"
F1,N,9,"0,801"
