dataset;metric;kfold;strat;unstrat
glass;accuracy;2;0,6519;0,6459
glass;accuracy;3;0,6696;0,6613
glass;accuracy;4;0,6730;0,6681
glass;accuracy;5;0,6765;0,6741
glass;accuracy;6;0,6795;0,6737
glass;accuracy;7;0,6755;0,6779
glass;accuracy;8;0,6796;0,6735
glass;accuracy;9;0,6817;0,6751
glass;precision;2;0,6405;0,6304
glass;precision;3;0,6756;0,6552
glass;precision;4;0,6827;0,6636
glass;precision;5;0,6905;0,6812
glass;precision;6;0,7028;0,6743
glass;precision;7;0,7007;0,6772
glass;precision;8;0,7120;0,6772
glass;precision;9;0,7159;0,6798
glass;recall;2;0,6377;0,6296
glass;recall;3;0,6640;0,6491
glass;recall;4;0,6599;0,6595
glass;recall;5;0,6625;0,6680
glass;recall;6;0,6706;0,6642
glass;recall;7;0,6636;0,6668
glass;recall;8;0,6678;0,6613
glass;recall;9;0,6672;0,6625
glass;f1;2;0,6329;0,6251
glass;f1;3;0,6685;0,6542
glass;f1;4;0,6864;0,6844
glass;f1;5;0,7064;0,7041
glass;f1;6;0,7221;0,7128
glass;f1;7;0,7359;0,7247
glass;f1;8;0,7478;0,7282
glass;f1;9;0,7633;0,7407
