,metric,X,param,mean
0,Accuracy,0.0,D,0.7365
1,Precision,0.0,D,0.78925
2,Recall,0.0,D,0.817125
3,F1,0.0,D,0.80075
4,Accuracy,0.01,C,0.7402500000000001
5,Precision,0.01,C,0.788
6,Recall,0.01,C,0.827
7,F1,0.01,C,0.80475
8,Accuracy,0.1,C,0.7358750000000001
9,Precision,0.1,C,0.788375
10,Recall,0.1,C,0.81675
11,F1,0.1,C,0.800125
12,Accuracy,0.25,C,0.738
13,Precision,0.25,C,0.7913749999999999
14,Recall,0.25,C,0.8162499999999999
15,F1,0.25,C,0.8016249999999999
16,Accuracy,0.5,C,0.7392500000000001
17,Precision,0.5,C,0.7938749999999999
18,Recall,0.5,C,0.81475
19,F1,0.5,C,0.802125
20,Accuracy,1.0,M,0.73675
21,Precision,1.0,M,0.7867500000000001
22,Recall,1.0,M,0.821125
23,F1,1.0,M,0.80175
24,Accuracy,2.0,M,0.737125
25,Precision,2.0,M,0.790125
26,Recall,2.0,M,0.817625
27,F1,2.0,M,0.801375
28,Accuracy,4.0,M,0.7382500000000001
29,Precision,4.0,M,0.7869999999999999
30,Recall,4.0,M,0.82475
31,F1,4.0,M,0.803375
32,Accuracy,10.0,M,0.736
33,Precision,10.0,M,0.788375
34,Recall,10.0,M,0.816875
35,F1,10.0,M,0.800375
36,Accuracy,2.0,N,0.7364999999999999
37,Precision,2.0,N,0.789375
38,Recall,2.0,N,0.816875
39,F1,2.0,N,0.8005
40,Accuracy,3.0,N,0.7368750000000001
41,Precision,3.0,N,0.790875
42,Recall,3.0,N,0.814875
43,F1,3.0,N,0.8003750000000001
44,Accuracy,6.0,N,0.737375
45,Precision,6.0,N,0.7909999999999999
46,Recall,6.0,N,0.81575
47,F1,6.0,N,0.800875
48,Accuracy,9.0,N,0.7366250000000001
49,Precision,9.0,N,0.79
50,Recall,9.0,N,0.816625
51,F1,9.0,N,0.80075
