,metric,X,param,mean
0,Accuracy,0.0,D,0.921375
1,Precision,0.0,D,0.9293750000000001
2,Recall,0.0,D,0.921125
3,F1,0.0,D,0.9215
4,Accuracy,0.01,C,0.9241250000000001
5,Precision,0.01,C,0.930875
6,Recall,0.01,C,0.9241250000000001
7,F1,0.01,C,0.924125
8,Accuracy,0.1,C,0.9204999999999999
9,Precision,0.1,C,0.927875
10,Recall,0.1,C,0.92075
11,F1,0.1,C,0.9205
12,Accuracy,0.25,C,0.917625
13,Precision,0.25,C,0.926375
14,Recall,0.25,C,0.917125
15,F1,0.25,C,0.9175
16,Accuracy,0.5,C,0.9179999999999999
17,Precision,0.5,C,0.9261250000000001
18,Recall,0.5,C,0.91775
19,F1,0.5,C,0.9179999999999999
20,Accuracy,1.0,M,0.918875
21,Precision,1.0,M,0.927
22,Recall,1.0,M,0.9177500000000001
23,F1,1.0,M,0.9183749999999999
24,Accuracy,2.0,M,0.923
25,Precision,2.0,M,0.9299999999999999
26,Recall,2.0,M,0.923125
27,F1,2.0,M,0.92275
28,Accuracy,4.0,M,0.922625
29,Precision,4.0,M,0.9297500000000001
30,Recall,4.0,M,0.9228749999999999
31,F1,4.0,M,0.92275
32,Accuracy,10.0,M,0.91825
33,Precision,10.0,M,0.9257500000000001
34,Recall,10.0,M,0.91875
35,F1,10.0,M,0.918
36,Accuracy,2.0,N,0.922125
37,Precision,2.0,N,0.929375
38,Recall,2.0,N,0.921125
39,F1,2.0,N,0.921125
40,Accuracy,3.0,N,0.921375
41,Precision,3.0,N,0.928625
42,Recall,3.0,N,0.921125
43,F1,3.0,N,0.920875
44,Accuracy,6.0,N,0.919375
45,Precision,6.0,N,0.9276249999999999
46,Recall,6.0,N,0.917875
47,F1,6.0,N,0.918625
48,Accuracy,9.0,N,0.923
49,Precision,9.0,N,0.931
50,Recall,9.0,N,0.922625
51,F1,9.0,N,0.9235
